client_id,is_test,oof_test_prob
CC_0000F52C3717,0,0.15143364667892456
CC_0008C4E44BB9,0,0.14103879034519196
CC_000B4B1BEDF6,0,0.1530139446258545
CC_000D492CE7AD,0,0.22448213398456573
CC_000DCFA992C4,0,0.19033408164978027
CC_001122E39690,0,0.17707666754722595
CC_00117B7E053B,0,0.2003137320280075
CC_00135124F0C3,0,0.08118931204080582
CC_0016CFCF14C4,0,0.17414864897727966
CC_001740B14C72,0,0.14638862013816833
CC_001938053246,0,0.2297939956188202
CC_0019E3DC239C,0,0.22168110311031342
CC_001C3594F76E,0,0.147494375705719
CC_001CE8624267,0,0.18393327295780182
CC_001F84E88060,0,0.20930588245391846
CC_00205A472499,0,0.21134142577648163
CC_00293A354886,0,0.2058146893978119
CC_002B838F0462,0,0.14432403445243835
CC_002C0A6A79A3,0,0.1190631166100502
CC_002D38C9B16D,0,0.17635932564735413
CC_002EC26F87BF,0,0.2359357476234436
CC_002FBC1547AE,0,0.15638627111911774
CC_00308EC6F3D4,0,0.16596168279647827
CC_00324544DD9F,0,0.22993910312652588
CC_003C4B7BE7F8,0,0.21291391551494598
CC_004006D91D8D,0,0.2171361744403839
CC_0041A03EFFB6,0,0.1991277039051056
CC_00428A82437E,0,0.2201772779226303
CC_0045073BC11F,0,0.1784532517194748
CC_00467B1D8D89,0,0.2481490671634674
CC_004713654049,0,0.2257087230682373
CC_00471F46B9F4,0,0.23886369168758392
CC_004B878F25C2,0,0.20351549983024597
CC_004BB26042C5,0,0.22973720729351044
CC_004D8E72230C,0,0.17703378200531006
CC_004DB3A3C70B,0,0.24214595556259155
CC_004FD1D5A61B,0,0.15764673054218292
CC_004FE57C56C8,0,0.22714842855930328
CC_005704951586,0,0.18580304086208344
CC_00643E369290,0,0.2039169818162918
CC_0066D98BB9EF,0,0.20831966400146484
CC_00690BCC3766,0,0.17774981260299683
CC_006D26E11173,0,0.15040990710258484
CC_006F0424BA0C,0,0.2478802353143692
CC_0072F2F08542,0,0.11175243556499481
CC_00751D910DFF,0,0.20683975517749786
CC_00755CE7B990,0,0.1865772008895874
CC_007590841E7C,0,0.1837630569934845
CC_007B612BB240,0,0.14781519770622253
CC_007EC791ED3A,0,0.1804770678281784
CC_00876B84BC7E,0,0.0973668023943901
CC_0088A324D676,0,0.20437663793563843
CC_008B5E945701,0,0.21939605474472046
CC_008D56B4B41A,0,0.2607642114162445
CC_00951B5D39A6,0,0.22940723598003387
CC_0099AC551369,0,0.21186503767967224
CC_009A2F903E8F,0,0.153772234916687
CC_009F373F58EE,0,0.18191246688365936
